name,email,company,title,phone,location,industry,company_size,revenue,technologies,recent_funding,website,linkedin,description
Sarah Johnson,sarah.johnson@technovate.io,Technovate Solutions,Chief Technology Officer,+1-415-555-0123,San Francisco CA,Technology,100-500,$10M-$50M,"Python, AWS, Kubernetes, React",Series A - $15M (2023),https://technovate.io,https://linkedin.com/company/technovate,"Leading SaaS platform for enterprise automation. Focus on AI-driven workflows and process optimization."
Michael Chen,m.chen@globalfinance.com,Global Finance Corp,VP of Digital Transformation,+1-212-555-0456,New York NY,Financial Services,1000-5000,$100M-$500M,"Java, Azure, Blockchain, Machine Learning",Series C - $100M (2022),https://globalfinance.com,https://linkedin.com/company/globalfinance,"Innovative fintech company revolutionizing payment processing and digital banking solutions."
Emma Williams,emma@startuphealth.co,HealthTech Innovations,CEO & Founder,+1-650-555-0789,Palo Alto CA,Healthcare,10-50,$1M-$10M,"Python, TensorFlow, AWS, Docker",Seed - $3M (2024),https://healthtechinnovations.com,https://linkedin.com/company/healthtech-innovations,"AI-powered diagnostic tools for early disease detection. FDA approval pending."
David Martinez,david.martinez@retailgiant.com,Retail Giant Inc,Director of Innovation,,Chicago IL,Retail,10000+,$1B+,"SAP, Salesforce, Power BI, Python",,https://retailgiant.com,,"Fortune 500 retailer exploring AI for inventory optimization and customer experience."
Lisa Thompson,lisa.t@edutech.org,EduTech Platform,Head of Product,+1-512-555-0234,Austin TX,Education,50-100,$5M-$10M,"Node.js, MongoDB, React Native",Series A - $8M (2023),https://edutechplatform.com,https://linkedin.com/company/edutech,"Personalized learning platform using AI to adapt to student needs."
Robert Kim,rkim@manufacturingai.com,Manufacturing AI Solutions,Chief Operating Officer,+1-313-555-0567,Detroit MI,Manufacturing,100-500,$50M-$100M,"IoT, TensorFlow, C++, Edge Computing",Series B - $40M (2023),https://manufacturingai.com,https://linkedin.com/company/manufacturing-ai,"Industrial IoT and AI for predictive maintenance and quality control."
Jennifer Garcia,j.garcia@greenenergytech.net,Green Energy Tech,VP of Sales,+1-303-555-0890,Denver CO,Clean Energy,50-100,$10M-$50M,"Python, Solar Design Software, CRM",,https://greenenergytech.net,,"Renewable energy solutions provider focusing on commercial solar installations."
Alex Patel,alex@aistartuphub.io,AI Startup Hub,Founder,+1-408-555-0123,San Jose CA,Technology,1-10,<$1M,"Python, PyTorch, FastAPI, PostgreSQL",Pre-seed - $500K (2024),https://aistartuphub.io,https://linkedin.com/in/alexpatel,"Early-stage AI company developing conversational AI for customer service."
Maria Rodriguez,mrodriguez@logisticsplus.com,Logistics Plus International,Senior Director IT,+1-786-555-0456,Miami FL,Logistics,500-1000,$100M-$500M,"Oracle, Java, Supply Chain Software",Private Equity - $75M (2022),https://logisticsplus.com,https://linkedin.com/company/logistics-plus,"Global logistics company implementing AI for route optimization."
James Wilson,james.wilson@biotech-research.com,BioTech Research Labs,Research Director,+1-617-555-0789,Boston MA,Biotechnology,100-500,$50M-$100M,"R, Python, Lab Automation Software",Series B - $60M (2023),https://biotech-research.com,,"Developing breakthrough therapies using AI-driven drug discovery."
Sophie Brown,sophie@marketinganalytics.ai,Marketing Analytics Pro,Chief Marketing Officer,,London UK,Marketing Technology,10-50,$1M-$10M,"Google Analytics, Tableau, Python",Seed - $2M (2024),https://marketinganalytics.ai,https://linkedin.com/company/marketing-analytics-pro,"AI-powered marketing attribution and optimization platform."
Daniel Lee,d.lee@cybersecure.net,CyberSecure Systems,Head of Engineering,+1-202-555-0234,Washington DC,Cybersecurity,50-100,$10M-$50M,"Go, Kubernetes, Security Tools",Series A - $12M (2023),https://cybersecure.net,,"Next-gen cybersecurity using machine learning for threat detection."
Rachel Green,rachel.green@realestate-ai.com,RealEstate AI,Product Manager,+1-323-555-0567,Los Angeles CA,Real Estate,10-50,$5M-$10M,"Python, Computer Vision, PostgreSQL",,https://realestate-ai.com,https://linkedin.com/company/realestate-ai,"AI-powered property valuation and market analysis platform."
Tom Anderson,tanderson@legaltech.solutions,LegalTech Solutions,CEO,+1-312-555-0890,Chicago IL,Legal Technology,20-50,$5M-$10M,"NLP, Contract Analysis, Cloud",Series A - $7M (2023),https://legaltech.solutions,,"Automated contract review and legal document analysis."
Nina Patel,nina@fashionai.style,Fashion AI,Head of Data Science,+1-646-555-0123,New York NY,Fashion/Retail,10-50,$1M-$10M,"Computer Vision, Recommendation Systems",Seed - $1.5M (2024),https://fashionai.style,https://linkedin.com/company/fashion-ai,"AI styling recommendations and virtual try-on technology."
Chris Evans,chris.evans@automotivetech.com,Automotive Tech Corp,Director of Autonomous Systems,+1-248-555-0456,Detroit MI,Automotive,1000-5000,$500M-$1B,"C++, ROS, Computer Vision, LIDAR",Corporate Funding,https://automotivetech.com,,"Developing autonomous vehicle technology and ADAS systems."
Amanda White,amanda@hrtech.platform,HR Tech Platform,VP of People Operations,+1-415-555-0789,San Francisco CA,Human Resources,50-100,$10M-$50M,"Python, ML, Slack Integration",,https://hrtechplatform.com,,"AI-driven talent acquisition and employee engagement platform."
Ryan Murphy,r.murphy@sportanalytics.io,Sports Analytics Inc,Chief Data Officer,+1-617-555-0234,Boston MA,Sports Technology,20-50,$5M-$10M,"Python, Computer Vision, Real-time Analytics",Series A - $6M (2023),https://sportsanalytics.io,https://linkedin.com/company/sports-analytics,"Performance analytics and injury prediction for professional sports."
Jessica Chang,jchang@agritech.solutions,AgriTech Solutions,Head of Innovation,+1-559-555-0567,Fresno CA,Agriculture,50-100,$10M-$50M,"IoT, Drone Tech, Weather APIs",,https://agritechsolutions.com,,"Precision agriculture using AI and IoT for crop optimization."
Mark Thompson,mark.t@insurance-ai.com,Insurance AI Group,Senior VP Technology,+1-860-555-0890,Hartford CT,Insurance,500-1000,$100M-$500M,"Python, Risk Models, Cloud Computing",Series B - $50M (2022),https://insurance-ai.com,https://linkedin.com/company/insurance-ai,"AI-powered risk assessment and claims processing."
Olivia Davis,olivia@traveltechstartup.com,TravelTech Startup,Co-Founder & COO,+1-786-555-0123,Miami FL,Travel & Hospitality,1-10,<$1M,"Node.js, React, APIs",Pre-seed - $250K (2024),https://traveltechstartup.com,,"Personalized travel planning using AI and local insights."
Brian Wilson,b.wilson@constructiontech.net,Construction Tech Inc,CTO,+1-469-555-0456,Dallas TX,Construction,100-500,$50M-$100M,"BIM Software, IoT, Project Management",Private Equity - $30M (2023),https://constructiontech.net,,"Digital transformation in construction with AI-powered project management."
Victoria Lee,victoria.lee@mediaanalytics.tv,Media Analytics Corp,Director of Analytics,+1-310-555-0789,Los Angeles CA,Media & Entertainment,100-500,$50M-$100M,"Python, Video Analytics, CDN",,https://mediaanalytics.tv,https://linkedin.com/company/media-analytics,"Audience insights and content optimization for streaming platforms."
Kevin Brown,kbrown@supplychain.ai,Supply Chain AI,VP of Operations,+1-404-555-0234,Atlanta GA,Supply Chain,50-100,$10M-$50M,"Optimization Algorithms, IoT, APIs",Series A - $10M (2023),https://supplychainai.com,,"End-to-end supply chain visibility and optimization platform."
Grace Kim,grace@beautytech.app,BeautyTech App,CEO & Founder,+1-424-555-0567,Los Angeles CA,Beauty & Cosmetics,10-50,$1M-$10M,"AR, Mobile Dev, Recommendation Engine",Seed - $2.5M (2024),https://beautytechapp.com,https://linkedin.com/company/beautytech,"Virtual makeup try-on and personalized beauty recommendations."
